city,score_scheme_A,rank_A,rank_B,rank_C_gate2.0_drag0.5,rank_C_gate2.0_drag0.7,rank_C_gate2.0_drag0.85,rank_C_gate3.0_drag0.5,rank_C_gate3.0_drag0.7,rank_C_gate3.0_drag0.85,rank_C_gate4.0_drag0.5,rank_C_gate4.0_drag0.7,rank_C_gate4.0_drag0.85,rank_C_gatep10_drag0.5,rank_C_gatep10_drag0.7,rank_C_gatep10_drag0.85,rank_C_gatep15_drag0.5,rank_C_gatep15_drag0.7,rank_C_gatep15_drag0.85
nm-alamogordo,5.53,13,15,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12
nm-albuquerque,4.67,29,29,29,29,29,29,29,29,29,29,29,27,27,27,24,24,24
nm-angel-fire,5.5,15,16,15,15,15,15,15,15,15,15,15,14,14,14,13,13,13
nm-aztec,5.58,12,9,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11
nm-carlsbad,6.06,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
nm-cleveland,6.17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
nm-deming,5.69,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
nm-east-taos,5.28,20,17,20,20,20,20,20,20,20,20,20,18,18,18,16,16,16
nm-edgewood,5.44,16,22,16,16,16,16,16,16,16,16,16,99,99,99,99,99,99
nm-el-prado,5.67,7,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
nm-espanola,4.94,27,23,27,27,27,27,27,27,27,27,27,25,25,25,22,22,22
nm-gallup,5.9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
nm-jemez-pueblo,5.61,11,7,11,11,11,11,11,11,11,11,11,99,99,99,99,99,99
nm-las-cruces,5.42,17,20,17,17,17,17,17,17,17,17,17,15,15,15,99,99,99
nm-las-vegas,5.03,25,25,25,25,25,25,25,25,25,25,25,23,23,23,20,20,20
nm-los-lunas,5.39,18,10,18,18,18,18,18,18,18,18,18,16,16,16,14,14,14
nm-los-ranchos-de-albuquerque,5.37,19,6,19,19,19,19,19,19,19,19,19,17,17,17,15,15,15
nm-navajo,5.67,8,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
nm-questa,6.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nm-red-river,5.67,9,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
nm-rio-rancho,5.51,14,18,14,14,14,14,14,14,14,14,14,13,13,13,99,99,99
nm-roswell,5.08,24,24,24,24,24,24,24,24,24,24,24,22,22,22,19,19,19
nm-sandia-park,5.83,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
nm-santa-fe,5.12,23,28,23,23,23,23,23,23,23,23,23,21,21,21,99,99,99
nm-shiprock,5.67,10,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
nm-silver-city,4.86,28,27,28,28,28,28,28,28,28,28,28,26,26,26,23,23,23
nm-socorro,5.25,21,19,21,21,21,21,21,21,21,21,21,19,19,19,17,17,17
nm-taos,5.21,22,21,22,22,22,22,22,22,22,22,22,20,20,20,18,18,18
nm-w-taos,5.03,26,26,26,26,26,26,26,26,26,26,26,24,24,24,21,21,21
