LEAID,DistrictName,EntityID,ELAProficiencyPct,MathProficiencyPct,SchoolYear
2800360,ABERDEEN SCHOOL DIST,4820-000,27.5,45.0,2022-23
2800990,CHOCTAW CO SCHOOL DIST,1000-000,60.8,66.1,2022-23
2800450,AMORY SCHOOL DIST,4821-000,51.7,68.4,2022-23
2802940,MONROE CO SCHOOL DIST,4800-000,59.3,68.4,2022-23
2800600,BENTON CO SCHOOL DIST,0500-000,39.5,39.5,2022-23
2804680,WESTERN LINE SCHOOL DISTRICT,7613-000,36.7,37.4,2022-23
2800540,BALDWYN SCHOOL DISTRICT,5920-000,34.9,43.2,2022-23
2804050,SOUTH PANOLA SCHOOL DISTRICT,5412-000,46.5,56.3,2022-23
2804590,WEST JASPER CONSOLIDATED SCHOOLS,3112-000,43.1,58.8,2022-23
2800570,BAY ST LOUIS WAVELAND SCHOOL DIST,2320-000,60.4,74.8,2022-23
2802040,HUMPHREYS CO SCHOOL DIST,2700-000,17.4,21.2,2022-23
2800630,BILOXI PUBLIC SCHOOL DIST,2420-000,58.7,72.4,2022-23
2800820,BOONEVILLE SCHOOL DIST,5921-000,53.3,65.5,2022-23
2803750,PRENTISS CO SCHOOL DIST,5900-000,50.4,62.3,2022-23
2803830,RANKIN CO SCHOOL DIST,6100-000,61.7,69.9,2022-23
2800840,BROOKHAVEN SCHOOL DIST,4320-000,38.9,44.0,2022-23
2802640,LINCOLN COUNTY SCHOOL DISTRICT,4300-000,51.9,63.7,2022-23
2801510,FORREST COUNTY AG HIGH SCHOOL,1802-000,55.5,75.4,2022-23
2800900,CANTON PUBLIC SCHOOL DIST,4520-000,32.6,40.7,2022-23
2803540,PEARL RIVER CO SCHOOL DIST,5500-000,49.2,61.1,2022-23
2800930,CARROLL COUNTY SCHOOL DIST,0800-000,29.6,35.5,2022-23
2802520,LEAKE CO SCHOOL DIST,4000-000,31.3,41.3,2022-23
2801410,EAST TALLAHATCHIE CONSOL SCH DIST,6811-000,17.1,35.0,2022-23
2800194,CLARKSDALE COLLEGIATE DISTRICT,1425-000,32.6,22.1,2022-23
2801050,CLARKSDALE MUNICIPAL SCHOOL DIST,1420-000,22.4,27.5,2022-23
2801110,COAHOMA COUNTY SCHOOL DISTRICT,1400-000,28.6,35.7,2022-23
2800750,CLEVELAND SCHOOL DIST,0614-000,35.2,38.7,2022-23
2801090,CLINTON PUBLIC SCHOOL DIST,2521-000,68.8,83.2,2022-23
2804230,TATE CO SCHOOL DIST,6900-000,37.4,46.9,2022-23
2801290,COVINGTON COUNTY SCHOOL DISTRICT,1600-000,45.2,54.4,2022-23
2801170,COLUMBIA SCHOOL DISTRICT,4620-000,49.2,62.6,2022-23
2802820,MARION CO SCHOOL DIST,4600-000,38.7,55.9,2022-23
2801200,COLUMBUS MUNICIPAL SCHOOL DIST,4420-000,28.9,31.9,2022-23
2802730,LOWNDES CO SCHOOL DIST,4400-000,55.7,65.8,2022-23
2800390,ALCORN SCHOOL DIST,0200-000,52.6,63.8,2022-23
2801260,CORINTH SCHOOL DIST,0220-000,48.6,44.0,2022-23
2803150,NEWTON COUNTY SCHOOL DISTRICT,5100-000,60.5,74.0,2022-23
2802310,KEMPER CO SCHOOL DIST,3500-000,28.3,33.1,2022-23
2802280,JONES CO SCHOOL DIST,3400-000,49.5,60.7,2022-23
2801440,ENTERPRISE SCHOOL DIST,1211-000,60.0,75.9,2022-23
2804560,WEBSTER CO SCHOOL DIST,7800-000,52.4,68.6,2022-23
2803270,NORTH TIPPAH SCHOOL DIST,7011-000,43.4,55.6,2022-23
2802220,JEFFERSON CO SCHOOL DIST,3200-000,28.4,31.5,2022-23
2801470,FOREST MUNICIPAL SCHOOL DIST,6220-000,25.2,41.2,2022-23
2803900,SCOTT CO SCHOOL DIST,6200-000,40.3,48.8,2022-23
2802100,ITAWAMBA COUNTY SCHOOL DIST,2900-000,50.9,63.7,2022-23
2801620,GREENVILLE PUBLIC SCHOOLS,7620-000,24.7,25.3,2022-23
2801680,GRENADA SCHOOL DIST,2220-000,58.5,70.6,2022-23
2801710,GULFPORT SCHOOL DIST,2421-000,59.0,63.7,2022-23
2801770,HARRISON CO SCHOOL DIST,2400-000,61.2,66.9,2022-23
2801490,FORREST COUNTY SCHOOL DISTRICT,1800-000,55.6,62.4,2022-23
2801800,HATTIESBURG PUBLIC SCHOOL DIST,1820-000,47.4,60.1,2022-23
2801220,COPIAH CO SCHOOL DIST,1500-000,42.0,50.8,2022-23
2801830,HAZLEHURST CITY SCHOOL DISTRICT,1520-000,31.9,36.9,2022-23
2801380,EAST JASPER CONSOLIDATED SCH DIST,3111-000,38.5,52.3,2022-23
2801320,DESOTO CO SCHOOL DIST,1700-000,53.9,64.4,2022-23
2801890,HOLLANDALE SCHOOL DIST,7611-000,32.2,33.3,2022-23
2801950,HOLLY SPRINGS SCHOOL DIST,4720-000,29.5,40.8,2022-23
2802850,MARSHALL CO SCHOOL DIST,4700-000,33.6,37.2,2022-23
2800187,SUNFLOWER CTY CONS SCHOOL DISTRICT,6711-000,34.0,45.1,2022-23
2804260,TISHOMINGO CO SP MUN SCH DIST,7100-000,48.7,56.3,2022-23
2800188,REIMAGINE PREP,2515-000,25.6,31.2,2022-23
2800193,JOEL E SMILOW COLLEGIATE,2505-000,34.2,22.3,2022-23
2802190,JACKSON PUBLIC SCHOOL DISTRICT,2520-000,29.0,29.5,2022-23
2801740,HANCOCK CO SCHOOL DIST,2300-000,59.6,70.9,2022-23
2800510,ATTALA CO SCHOOL DIST,0400-000,52.3,63.9,2022-23
2802340,KOSCIUSKO SCHOOL DISTRICT,0420-000,45.1,60.4,2022-23
2802460,LAUREL SCHOOL DISTRICT,3420-000,33.1,34.2,2022-23
2801590,GREENE COUNTY SCHOOL DISTRICT,2100-000,50.8,59.3,2022-23
