Authorizer,Charter School,Contract Term,Enrollment Cap,Grades Authorized,Grades Served 2025-26,Phone Number,Street Address,Administrator (SY25-26 changes highlighted),Administrator Email,2nd Administrator Email
Public Education Commission,21st Century Public Academy,2025-2030,800,K-8,1-8,(505) 254-0280,"4300 Cutler Ave NE Albuquerque, NM 87110",Eric Tiger,etiger@21stcenturypa.com,
Santa Fe Public Schools,(The) Academy for Technology and the Classics,2020-2025,,7-12,7-12,(505) 473-4282,"74 A Van Nu Po Road Santa Fe, NM 87508",Jennifer Ferguson; Jessica Biscamp ,Jennifer.ferguson@atcschool.org,Jess.biscamp@atcschool.org
Albuquerque Public Schools,ACE Leadership High School,2021-2026,,9-12,9-12,(505) 242-4733,"1240 Bellamah Ave NW Albuquerque, NM 87104",Casey Mason; Matt Salas ,casey@aceleadership.org,matthew@aceleadership.org
Public Education Commission,ACES Technical Charter School ,2025-2030,875,K-12,6-10,(505) 506-1186,"4501 Montgomery Blvd NE Albuquerque, NM  87109",Dr. Jeron Campbell,jeron@acespublicschools.org,
Public Education Commission,ACES Technical Charter School ,2025-2030,,K-12,K-5,(505) 506-1187,"420 Lomas Blvd NE Albuquerque, NM 87110",Dr. Jeron Campbell,jeron@acespublicschools.org,
Public Education Commission,Albuquerque Aviation Academy,2024-2029,500,6-12,6-12,(505) 608-6441,"6441 Ventana Rd NW Albuquerque, NM 87114",Bridget Barrett,bbarrett@samsacademy.com,
Public Education Commission,Albuquerque Bilingual Academy,2025-2030,475,PK-8,PK-8,(505) 836-7706,"7500 La Morada NW Albuquerque, NM 87120",Elena Trodden ,etrodden@abqbilingual.org,
Albuquerque Public Schools,Albuquerque Charter Academy,2019-2024,,9-12,9-12,(505) 242-6640,"405 Dr. Martin Luther King Ave NE Albuquerque, NM 87102",Erik Bose,erik.bose@abqca.org,
Public Education Commission,Albuquerque Collegiate Charter School,2023-2028,610,K-8,K-7,(505) 539-5283,"1905 Mountain Rd NW Albuquerque, NM 87104",Jade Rivera,jrivera@abqcollegiate.org,
Albuquerque Public Schools,Albuquerque Institute of Mathematics and Science at UNM ,2025-2030,720,6-12,6-12,(505) 559-4249,"933 Bradbury SE Albuquerque, NM 87106",Kathy Sandoval-Snider,ksandoval@aims-unm.org,
Public Education Commission,Albuquerque School of Excellence,2025-2030,2300,K-12,K-12,(505) 312-7711,"13201 Lomas Blvd. NE Albuquerque, NM 87112",Mustafa Ayik,mayik@abqse.org,
,,,,,,,"5200 Sequoia Rd NW Albuquerque, NM 87120                                (Set to open SY 2026-2027) ",,,
Public Education Commission,Albuquerque Sign Language Academy,2025-2030,300,K-12,K-12,(505) 247-1701,"225 Griegos Rd., NW  Albuquerque, NM  87107",Raphael (Rafe) Martinez,rafem@aslacademy.com,
Albuquerque Public Schools,Albuquerque Talent Development Academy,2023-2028,,9-12,9-12,(505)-836-8646,"1800 Atrisco Road NW Albuquerque, NM 87120",David Bryant ,dbryant@atdacademy.org,
Public Education Commission,Aldo Leopold Charter School,2025-2030,210,6-12,6-12,(575) 538-2547,"410 W, 10th St. Silver City, NM 88061",Will Tracy,wtracy@aldocs.org,
Albuquerque Public Schools,Alice King Community School,2021-2026,,K-8,K-8,(505) 344-0746,"8100 Mountain Road NE Albuquerque, NM 87110",Kristi Collins,kristi@akcs.org,
Public Education Commission,Alma d'Arte Charter High School,2022-2027,280,9-12,9-12,(575) 541-0145,"402 W. Court Ave Las Cruces, NM 88005",Dr. Adam Amador,aamador@almadarte.org,
Public Education Commission,Altura Preparatory School,2023-2028,396,K-5,K-5,(505) 539-5369,"8650 Alameda Blvd. Bld. 2B Albuquerque, NM  87122",Meaghan Hindman; Lissa Hines,meaghan.hindman@alturaprep.org ,lissa.hines@alturaprep.org
