SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
2023-2024,35,NEW MEXICO,NM,VAUGHN ELEMENTARY,VAUGHN,01,,NM-026,3500001,NM-026-168,350000100607,3500607,PO BOX 489,,,VAUGHN,NM,88353,,101 4TH,,,VAUGHN,NM,88353,,(575)584-2283,http://www.vaughnschools.org/,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,VAUGHN HIGH,VAUGHN,01,,NM-026,3500001,NM-026-169,350000100608,3500608,PO BOX 489,,,VAUGHN,NM,88353,,101 4TH,,,VAUGHN,NM,88353,,(575)584-2283,http://www.vaughnschools.org/,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,07,12,High,As reported
2023-2024,35,NEW MEXICO,NM,RIO RANCHO ELEMENTARY,RIO RANCHO,01,,NM-083,3500010,NM-083-340,350001000101,3500101,4601 PEPE ORTIZ RD SE,,,RIO RANCHO,NM,87124,,4601 PEPE ORTIZ RD SE,,,RIO RANCHO,NM,87124,,(505)892-0220,http://riorancho.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,PUESTA DEL SOL ELEMENTARY,RIO RANCHO,01,,NM-083,3500010,NM-083-319,350001000650,3500650,450 SOUTHERN BLVD SE,,,RIO RANCHO,NM,87124,,450 SOUTHERN BLVD SE,,,RIO RANCHO,NM,87124,,(505)994-3305,http://puesta.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,LINCOLN MIDDLE,RIO RANCHO,01,,NM-083,3500010,NM-083-481,350001000682,3500682,2287 LEMA ROAD SE,,,RIO RANCHO,NM,87124,,2287 LEMA RD SE,,,RIO RANCHO,NM,87124,,(505)892-1100,http://lincoln.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2023-2024,35,NEW MEXICO,NM,MARTIN KING JR ELEMENTARY,RIO RANCHO,01,,NM-083,3500010,NM-083-375,350001000710,3500710,1301 NICKLAUS DR SE,,,RIO RANCHO,NM,87124,,1301 NICKLAUS DR SE,,,RIO RANCHO,NM,87124,,(505)892-2575,http://martin.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,ERNEST STAPLETON ELEMENTARY,RIO RANCHO,01,,NM-083,3500010,NM-083-372,350001000736,3500736,3100 STAPLETON AVE NE,,,RIO RANCHO,NM,87124,,3100 STAPLETON AVE NE,,,RIO RANCHO,NM,87124,,(505)891-8473,http://stapleton.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,MOUNTAIN VIEW MIDDLE,RIO RANCHO,01,,NM-083,3500010,NM-083-105,350001000739,3500739,4101 MONTREAL LOOP NE,,,RIO RANCHO,NM,87144,,4101 MONTREAL LOOP NE,,,RIO RANCHO,NM,87144,,(505)867-0711,http://mountain.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2023-2024,35,NEW MEXICO,NM,COLINAS DEL NORTE ELEMENTARY,RIO RANCHO,01,,NM-083,3500010,NM-083-050,350001000750,3500750,1001 NIGHT SKY AVE NE,,,RIO RANCHO,NM,87144,,1001 NIGHT SKY AVE NE,,,RIO RANCHO,NM,87144,,(505)896-3378,http://colinas.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,EAGLE RIDGE MIDDLE,RIO RANCHO,01,,NM-083,3500010,NM-083-001,350001000761,3500761,800 FRUTA ROAD,,,RIO RANCHO,NM,87124,,800 FRUTA RD,,,RIO RANCHO,NM,87124,,(505)892-6630,http://eagle.rrps.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
