SY-2024-25-Proficiency-ELA-2025.12.18-TT-MASKED_reload3.10 (1)
TableName,SY,DistrictCode,LocationCode,SchoolCode,DistrictName,LocationName,Demographic,SubTest,AttenuatedProficiencyRate,ProficientN,AttenuatedStudentTotal
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,All,ELA,43.07,15517,36025
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Female,ELA,45.79,7711,16840
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Male,ELA,40.55,7151,17637
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Hispanic,ELA,36.67,8712,23761
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,White,ELA,43.41,12225,28163
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Black,ELA,36.05,605,1678
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Asian,ELA,60.89,682,1120
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Native,ELA,29.62,798,2694
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Multirace,ELA,50.99,1206,2365
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,FRL,ELA,42.47,14949,35195
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,NotFRL,ELA,68.43,568,830
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,DirectCert,ELA,33.38,7644,22899
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,NotDirectCert,ELA,59.98,7873,13126
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,SwD,ELA,13.34,1275,9556
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,NotSwD,ELA,53.81,14242,26469
ProficiencyELA,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,EL,ELA,17.73,1388,7827
