TableName,SY,DistrictCode,LocationCode,SchoolCode,DistrictName,LocationName,Demographic,SubTest,AttenuatedProficiencyRate,ProficientN,AttenuatedStudentTotal
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,All,MATH,24.58,8777,35701
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Female,MATH,22.5,3750,16670
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Male,MATH,26.87,4697,17483
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Hispanic,MATH,17.49,4105,23475
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,White,MATH,24.74,6900,27894
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Black,MATH,14.96,248,1658
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Asian,MATH,49.46,553,1118
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Native,MATH,13.12,350,2667
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Multirace,MATH,30.78,726,2359
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,FRL,MATH,24.19,8435,34871
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,NotFRL,MATH,41.2,342,830
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,DirectCert,MATH,15.53,3513,22624
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,NotDirectCert,MATH,40.25,5264,13077
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,SwD,MATH,7.26,688,9483
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,NotSwD,MATH,30.85,8089,26218
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,EL,MATH,6.99,537,7682
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,NotEL,MATH,29.41,8240,28019
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Migratory,MATH,*,*,*
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Homeless,MATH,5.5,40,727
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,Military,MATH,*,*,*
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,AnyNative,MATH,15.72,553,3517
ProficiencyMATH,2024-2025,1,0,1000,ALBUQUERQUE,ALBUQUERQUE DO,AnyBlack,MATH,17.69,494,2793
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,All,MATH,31.82,14,44
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,Female,MATH,*,*,19
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,Male,MATH,34.62,9,26
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,Hispanic,MATH,33.33,8,24
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,White,MATH,30,12,40
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,Black,MATH,*,*,*
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,Asian,MATH,*,*,*
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,Native,MATH,*,*,*
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,Multirace,MATH,*,*,*
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,FRL,MATH,31.82,14,44
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,NotFRL,MATH,*,*,*
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,DirectCert,MATH,*,*,24
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,NotDirectCert,MATH,50,10,20
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,SwD,MATH,*,*,10
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,NotSwD,MATH,35.29,12,34
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,EL,MATH,*,*,*
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,NotEL,MATH,32.56,14,43
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,Migratory,MATH,*,*,*
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,Homeless,MATH,*,*,*
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,Military,MATH,*,*,*
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,AnyNative,MATH,*,*,*
ProficiencyMATH,2024-2025,2,0,2000,RESERVE,RESERVE DO,AnyBlack,MATH,*,*,*
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,All,MATH,30.34,27,89
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Female,MATH,30.23,13,43
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Male,MATH,30.43,14,46
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Hispanic,MATH,*,*,21
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,White,MATH,30.56,22,72
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Black,MATH,*,*,*
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Asian,MATH,*,*,*
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Native,MATH,*,*,*
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Multirace,MATH,*,*,*
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,FRL,MATH,30.34,27,89
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,NotFRL,MATH,*,*,*
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,DirectCert,MATH,17.5,7,40
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,NotDirectCert,MATH,40.82,20,49
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,SwD,MATH,*,*,14
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,NotSwD,MATH,34.67,26,75
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,EL,MATH,*,*,*
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,NotEL,MATH,30.34,27,89
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Migratory,MATH,*,*,*
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Homeless,MATH,*,*,23
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Military,MATH,*,*,*
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,AnyNative,MATH,*,*,*
ProficiencyMATH,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,AnyBlack,MATH,*,*,10
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,All,MATH,21.78,967,4440
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Female,MATH,19.55,429,2194
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Male,MATH,23.95,538,2246
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Hispanic,MATH,18.14,602,3318
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,White,MATH,21.5,916,4260
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Black,MATH,22.88,27,118
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Asian,MATH,52.63,20,38
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Native,MATH,*,*,18
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Multirace,MATH,*,*,*
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,FRL,MATH,21.78,967,4440
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,NotFRL,MATH,*,*,*
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,DirectCert,MATH,18.61,573,3079
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,NotDirectCert,MATH,28.95,394,1361
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,SwD,MATH,8.27,73,883
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,NotSwD,MATH,25.13,894,3557
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,EL,MATH,10.55,73,692
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,NotEL,MATH,23.85,894,3748
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Migratory,MATH,*,*,*
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Homeless,MATH,17.33,13,75
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Military,MATH,*,*,*
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,AnyNative,MATH,*,*,18
ProficiencyMATH,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,AnyBlack,MATH,21.95,27,123
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,All,MATH,21.59,38,176
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Female,MATH,23.61,17,72
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Male,MATH,20.19,21,104
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Hispanic,MATH,22.79,31,136
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,White,MATH,21.51,37,172
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Black,MATH,*,*,*
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Asian,MATH,*,*,*
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Native,MATH,*,*,*
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Multirace,MATH,*,*,*
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,FRL,MATH,21.59,38,176
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,NotFRL,MATH,*,*,*
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,DirectCert,MATH,16.42,11,67
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,NotDirectCert,MATH,24.77,27,109
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,SwD,MATH,≤ 20,*,34
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,NotSwD,MATH,26.76,38,142
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,EL,MATH,≤ 20,*,45
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,NotEL,MATH,24.43,32,131
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Migratory,MATH,*,*,*
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Homeless,MATH,*,*,*
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,Military,MATH,*,*,*
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,AnyNative,MATH,*,*,*
ProficiencyMATH,2024-2025,5,0,5000,HAGERMAN,HAGERMAN DO,AnyBlack,MATH,*,*,*
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,All,MATH,16.27,62,381
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,Female,MATH,15.03,29,193
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,Male,MATH,17.55,33,188
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,Hispanic,MATH,15.41,49,318
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,White,MATH,16.27,62,381
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,Black,MATH,*,*,*
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,Asian,MATH,*,*,*
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,Native,MATH,*,*,*
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,Multirace,MATH,*,*,*
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,FRL,MATH,16.27,62,381
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,NotFRL,MATH,*,*,*
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,DirectCert,MATH,12,24,200
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,NotDirectCert,MATH,20.99,38,181
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,SwD,MATH,≤ 20,*,54
ProficiencyMATH,2024-2025,6,0,6000,DEXTER,DEXTER DO,NotSwD,MATH,17.74,58,327
